# FrenchMaster cards source (tab-separated)
## columns: id	french	english	partOfSpeech	grade	unit	gender	examUsage	tags	examples
# examples format: french=>english || french=>english

g10s1_01	bonjour	hello / good morning	phrase	G10S1	1		Formal greeting used in written and oral exams as opening.	greetings|basic	Bonjour, comment allez-vous ?=>Hello, how are you? || Bonjour à tous !=>Good morning everyone!
g10s1_02	la famille	the family	noun	G10S1	1	feminine	Common topic in descriptive essays about personal life.	family|basic	Ma famille est très grande.=>My family is very large. || La famille est importante dans la culture française.=>Family is important in French culture.
g10s1_03	travailler	to work	verb	G10S1	2		Regular -er verb, frequently tested in conjugation exercises.	work|verbs	Je travaille tous les jours.=>I work every day. || Elle travaille dans un hôpital.=>She works in a hospital.
g10s1_04	l'école	the school	noun	G10S1	2	feminine	Essential for describing daily routine and school life topics.	school|education	Je vais à l'école à huit heures.=>I go to school at eight o'clock. || L'école est près de la maison.=>The school is near the house.
g10s1_05	habiter	to live (reside)	verb	G10S1	3		Used in oral exams when describing where you live.	housing|verbs	J'habite à Paris.=>I live in Paris. || Où habitez-vous ?=>Where do you live?
g10s1_06	aimer	to like / to love	verb	G10S1	3		Key verb for expressing preferences and opinions in essays.	emotions|verbs	J'aime le chocolat.=>I like chocolate. || Il aime beaucoup sa mère.=>He loves his mother very much.
g10s1_07	un ami	a friend (male)	noun	G10S1	4	masculine	Used in descriptive writing about friendships and social life.	relationships|basic	Mon meilleur ami s'appelle Lucas.=>My best friend is called Lucas. || J'ai beaucoup d'amis à l'école.=>I have many friends at school.
g10s1_08	comprendre	to understand	verb	G10S1	4		Irregular verb tested frequently. Essential for comprehension tasks.	communication|irregular-verbs	Je ne comprends pas la question.=>I don't understand the question. || Comprenez-vous le français ?=>Do you understand French?
g10s1_09	un élève	a student (m)	noun	G10S1	1	masculine	Refers to a pupil in a school environment.	people|school	C'est un élève sérieux.=>He is a serious student. || Un élève doit faire ses devoirs.=>A student must do his homework.
g10s1_10	un camarade	a classmate (m)	noun	G10S1	1	masculine	Common term for a friend or peer at school.	people|school	Il est un camarade de classe.=>He is a classmate. || Mon camarade est très gentil.=>My classmate is very kind.
g10s1_11	un caractère	a character / personality	noun	G10S1	2	masculine	Essential for describing personality traits in essays.	identity	Il a un bon caractère.=>He has a good character. || Décris le caractère de ton ami.=>Describe your friend's personality.
